2025-12-02 15:43:00.187 [main] INFO  c.q.xiaohashu.oss.biz.XiaohashuOssBizApplication - Starting XiaohashuOssBizApplication using Java 17.0.12 with PID 13632 (E:\xiaohashu\xiaohashu-oss\xiaohashu-oss-biz\target\classes started by LeeShuchen in E:\xiaohashu)
2025-12-02 16:06:11.418 [main] INFO  com.alibaba.nacos.common.remote.client - [51214547-13ad-4f78-bcbd-846d9d70d395] Success to connect to server [192.168.88.101:8848] on start up, connectionId = 1764691570247_192.168.88.1_49714
2025-12-02 16:06:11.418 [com.alibaba.nacos.client.remote.worker] INFO  com.alibaba.nacos.common.remote.client - [51214547-13ad-4f78-bcbd-846d9d70d395] Notify connected event to listeners.
2025-12-02 16:06:11.418 [com.alibaba.nacos.client.remote.worker] INFO  com.alibaba.nacos.client.naming - Grpc connection connect
2025-12-02 16:06:11.418 [main] INFO  com.alibaba.nacos.common.remote.client - [51214547-13ad-4f78-bcbd-846d9d70d395] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2025-12-02 16:06:11.419 [main] INFO  com.alibaba.nacos.common.remote.client - [51214547-13ad-4f78-bcbd-846d9d70d395] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$910/0x000001f4a3662bc8
2025-12-02 16:06:11.419 [main] INFO  com.alibaba.nacos.client.naming - [REGISTER-SERVICE] xiaohashu registering service xiaohashu-oss with instance Instance{instanceId='null', ip='172.28.129.13', port=8081, weight=1.0, healthy=true, enabled=true, ephemeral=true, clusterName='DEFAULT', serviceName='null', metadata={IPv6=[2001:da8:c800:9000:0:0:1:439d], preserved.register.source=SPRING_CLOUD}}
2025-12-02 16:06:11.434 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP xiaohashu-oss 172.28.129.13:8081 register finished
2025-12-02 16:06:11.514 [main] INFO  c.q.xiaohashu.oss.biz.XiaohashuOssBizApplication - Started XiaohashuOssBizApplication in 2.317 seconds (process running for 2.604)
2025-12-02 16:08:42.981 [Thread-5] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2025-12-02 16:08:42.981 [Thread-8] WARN  c.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2025-12-02 16:08:42.981 [Thread-5] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2025-12-02 16:08:42.981 [Thread-8] WARN  c.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2025-12-02 16:08:42.997 [SpringApplicationShutdownHook] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registering from Nacos Server now...
2025-12-02 16:08:42.997 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - [DEREGISTER-SERVICE] xiaohashu deregistering service xiaohashu-oss with instance: Instance{instanceId='null', ip='172.28.129.13', port=8081, weight=1.0, healthy=true, enabled=true, ephemeral=true, clusterName='DEFAULT', serviceName='null', metadata={}}
2025-12-02 16:08:43.002 [SpringApplicationShutdownHook] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registration finished.
2025-12-02 16:08:43.003 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.cache.ServiceInfoHolder do shutdown begin
2025-12-02 16:08:43.003 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.backups.FailoverReactor do shutdown begin
2025-12-02 16:08:43.003 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.backups.FailoverReactor do shutdown stop
2025-12-02 16:08:43.003 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.cache.ServiceInfoHolder do shutdown stop
2025-12-02 16:08:43.003 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.remote.NamingClientProxyDelegate do shutdown begin
2025-12-02 16:08:43.003 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.core.ServiceInfoUpdateService do shutdown begin
2025-12-02 16:08:43.003 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.core.ServiceInfoUpdateService do shutdown stop
2025-12-02 16:08:43.003 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.core.ServerListManager do shutdown begin
2025-12-02 16:08:43.003 [SpringApplicationShutdownHook] WARN  com.alibaba.nacos.client.naming - [NamingHttpClientManager] Start destroying NacosRestTemplate
2025-12-02 16:08:43.003 [SpringApplicationShutdownHook] WARN  com.alibaba.nacos.client.naming - [NamingHttpClientManager] Destruction of the end
2025-12-02 16:08:43.003 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.core.ServerListManager do shutdown stop
2025-12-02 16:08:43.003 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.remote.http.NamingHttpClientProxy do shutdown begin
2025-12-02 16:08:43.003 [SpringApplicationShutdownHook] WARN  com.alibaba.nacos.client.naming - [NamingHttpClientManager] Start destroying NacosRestTemplate
2025-12-02 16:08:43.003 [SpringApplicationShutdownHook] WARN  com.alibaba.nacos.client.naming - [NamingHttpClientManager] Destruction of the end
2025-12-02 16:08:43.003 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.remote.http.NamingHttpClientProxy do shutdown stop
2025-12-02 16:08:43.003 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.common.remote.client - Shutdown rpc client, set status to shutdown
2025-12-02 16:08:43.003 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.common.remote.client - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@4b5f9dd9[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
2025-12-02 16:08:43.004 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.common.remote.client - Close current connection 1764691570247_192.168.88.1_49714
2025-12-02 16:08:43.005 [nacos-grpc-client-executor-192.168.88.101-44] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient - [1764691570247_192.168.88.1_49714]Ignore complete event,isRunning:false,isAbandon=false
2025-12-02 16:08:43.005 [SpringApplicationShutdownHook] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@5f8214a5[Running, pool size = 5, active threads = 0, queued tasks = 0, completed tasks = 45]
2025-12-02 16:08:43.005 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - Shutdown grpc redo service executor java.util.concurrent.ScheduledThreadPoolExecutor@54f661b6[Running, pool size = 1, active threads = 0, queued tasks = 1, completed tasks = 50]
2025-12-02 16:08:43.005 [SpringApplicationShutdownHook] INFO  c.a.n.client.auth.ram.identify.CredentialWatcher - [null] CredentialWatcher is stopped
2025-12-02 16:08:43.005 [SpringApplicationShutdownHook] INFO  c.a.n.client.auth.ram.identify.CredentialService - [null] CredentialService is freed
2025-12-02 16:08:43.007 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.remote.NamingClientProxyDelegate do shutdown stop
2025-12-02 16:08:44.536 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-12-02 16:08:44.577 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-12-02 16:08:44.868 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-12-02 16:08:44.876 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-12-02 16:08:44.876 [main] INFO  c.q.xiaohashu.oss.biz.XiaohashuOssBizApplication - The following 1 profile is active: "dev"
2025-12-02 16:08:45.112 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=7174e1f8-9054-3188-9c71-3cf71c2c22d0
2025-12-02 16:08:45.228 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
